Date,Open,High,Low,Close,Adj Close,Volume
2017-10-13,523.000000,534.400024,522.450012,529.450012,528.793335,1314088
2017-10-16,529.450012,531.650024,514.299988,520.700012,520.054199,343928
2017-10-17,527.000000,527.000000,511.000000,513.200012,512.563538,593267
2017-10-18,490.000000,490.000000,461.649994,464.350006,463.774109,3855961
2017-10-19,464.750000,465.350006,458.250000,460.350006,459.779053,298321
2017-10-23,460.350006,460.500000,447.799988,449.899994,449.342010,931960
2017-10-24,451.000000,457.600006,450.000000,451.850006,451.289612,565517
2017-10-25,465.000000,475.950012,456.950012,472.700012,472.113739,1931779
2017-10-26,473.000000,487.799988,472.000000,484.399994,483.799225,942009
2017-10-27,485.500000,489.750000,481.350006,484.500000,483.899109,569367
2017-10-30,486.000000,488.500000,481.700012,484.299988,483.699341,390843
2017-10-31,492.600006,529.000000,492.600006,523.049988,522.401245,2436352
2017-11-01,525.000000,542.900024,525.000000,533.750000,533.088013,1163011
2017-11-02,535.599976,537.000000,526.150024,530.099976,529.442505,608964
2017-11-03,535.000000,549.000000,534.700012,540.000000,539.330261,634204
2017-11-06,540.000000,541.500000,530.500000,533.549988,532.888245,449481
2017-11-07,535.000000,539.349976,523.049988,527.099976,526.446228,326327
2017-11-08,537.700012,551.549988,533.650024,545.049988,544.373962,832140
2017-11-09,548.000000,555.549988,533.500000,540.599976,539.929504,461517
2017-11-10,538.500000,549.000000,533.299988,544.500000,543.824707,538557
2017-11-13,555.200012,564.599976,534.500000,537.799988,537.132996,1090073
2017-11-14,538.950012,550.000000,533.000000,546.250000,545.572510,604784
2017-11-15,544.000000,550.849976,525.250000,542.099976,541.427612,310957
2017-11-16,542.500000,548.000000,541.599976,542.549988,541.877075,681027
2017-11-17,545.299988,556.900024,539.950012,541.900024,541.227905,369948
2017-11-20,542.500000,555.000000,537.299988,544.849976,544.174194,224591
2017-11-21,548.000000,548.849976,539.500000,546.750000,546.071899,288090
2017-11-22,546.950012,547.250000,538.500000,540.049988,539.380188,269060
2017-11-23,542.000000,547.299988,535.549988,544.250000,543.575012,413734
2017-11-24,545.900024,547.200012,541.000000,544.799988,544.124268,217433
2017-11-27,545.000000,561.500000,540.750000,559.650024,558.955933,2865082
2017-11-28,559.650024,565.400024,558.500000,562.200012,561.502747,416481
2017-11-29,561.500000,561.500000,546.299988,549.150024,548.468933,261238
2017-11-30,547.900024,547.900024,534.250000,536.000000,535.335205,417095
2017-12-01,537.500000,545.400024,531.349976,533.599976,532.938171,393979
